ticker,description,bloomberg_ticker,group,open_utc,close_utc,transaction_cost
EN,Nasdaq (NQ),NQ1 Index,EQUITY_US,13:30,21:00,0.25
ER,Russell 2000 (RTY),RTY1 Index,EQUITY_US,13:30,21:00,0.5
ES,S&P 500 (ES),ES1 Index,EQUITY_US,13:30,21:00,0.25
YM,Dow Jones (DM),DM1 Index,EQUITY_US,13:30,21:00,0.25
LX,FTSE 100 (Z),Z 1 Index,EQUITY_EU,07:00,16:00,0.5
CA,CAC 40 (CF),CF1 Index,EQUITY_EU,07:00,16:00,0.5
XU,EuroStoxx 50 (VG),VG1 Index,EQUITY_EU,07:00,16:00,1.0
NK,Nikkei (NK),NK1 Index,EQUITY_APAC,23:00,06:00,1.5
HS,Hang Seng (HI),HI1 Index,EQUITY_APAC,01:15,08:00,0.75
TU,US 2yr Note,TU1 Comdty,RATES_US_TREASURY,12:20,20:00,0.25
UZ,German Schatz (2yr),DU1 Comdty,RATES_EU_BUND,06:00,16:00,0.25
AN,Australian Dollar,AD1 Curncy,FX_G10,00:00,20:00,0.5
BN,British Pound,BP1 Curncy,FX_G10,00:00,20:00,0.5
CN,Canadian Dollar,CD1 Curncy,FX_G10,00:00,20:00,0.5
FN,Euro,EC1 Curncy,FX_G10,00:00,20:00,0.25
JN,Japanese Yen,JY1 Curncy,FX_G10,00:00,20:00,0.5
SN,Swiss Franc,SF1 Curncy,FX_G10,00:00,20:00,0.5
DX,US Dollar Index,DX1 Curncy,FX_G10,00:00,20:00,0.5
FB,US 5yr Note,FV1 Comdty,RATES_US_TREASURY,12:20,20:00,0.25
TY,US 10yr Note,TY1 Comdty,RATES_US_TREASURY,12:20,20:00,0.75
DT,German Bund (10yr),RX1 Comdty,RATES_EU_BUND,06:00,16:00,0.5
UB,German Bobl (5yr),OE1 Comdty,RATES_EU_BUND,06:00,16:00,0.5
GS,UK Gilt,G 1 Comdty,RATES_GLOBAL_OTHER,07:00,16:00,0.5
CB,Canadian 10yr,CN1 Comdty,RATES_GLOBAL_OTHER,12:00,20:00,0.5
US,US 30yr Bond,US1 Comdty,RATES_US_TREASURY,12:20,20:00,1.5
BC,Brent Crude,CO1 Comdty,COMM_ENERGY,00:00,19:00,0.75
BG,Gasoil,QS1 Comdty,COMM_ENERGY,00:00,16:00,1.5
ZB,RBOB Gasoline,XB1 Comdty,COMM_ENERGY,13:00,19:00,1.5
ZN,Natural Gas,NG1 Comdty,COMM_ENERGY,13:00,19:00,2.5
ZU,WTI Crude,CL1 Comdty,COMM_ENERGY,13:00,19:00,0.75
ZG,Gold,GC1 Comdty,COMM_PREC_METALS,12:00,18:00,0.25
ZI,Silver,SI1 Comdty,COMM_PREC_METALS,12:00,18:00,1.0
ZK,Copper,HG1 Comdty,COMM_BASE_METALS,12:00,18:00,0.75
ZS,Soybeans,S 1 Comdty,COMM_AGRI_GRAINS,14:30,19:00,1.5
ZP,Platinum,PL1 Comdty,COMM_PREC_METALS,12:00,18:00,1.5
KW,Wheat (KC),KW1 Comdty,COMM_AGRI_GRAINS,14:30,19:00,2.5
ZC,Corn,C 1 Comdty,COMM_AGRI_GRAINS,14:30,19:00,2.5
ZL,Soy Bean Oil,BO1 Comdty,COMM_AGRI_GRAINS,14:30,19:00,1.5
ZM,Soy Bean Meal,SM1 Comdty,COMM_AGRI_GRAINS,14:30,19:00,2.5
ZW,Wheat (Chicago),W 1 Comdty,COMM_AGRI_GRAINS,14:30,19:00,2.5
CT,Cotton,CT1 Comdty,COMM_AGRI_SOFTS,02:00,19:00,2.5
KC,Coffee,KC1 Comdty,COMM_AGRI_SOFTS,09:15,17:00,2.5
SB,Sugar,SB1 Comdty,COMM_AGRI_SOFTS,08:30,17:00,2.5
ZF,Feeder Cattle,FC1 Comdty,COMM_LIVESTOCK,14:30,19:00,2.5
ZT,Live Cattle,LC1 Comdty,COMM_LIVESTOCK,14:30,19:00,1.5
ZZ,Lean Hogs,LH1 Comdty,COMM_LIVESTOCK,14:30,19:00,2.5
MP,Mexican Peso,PE1 Curncy,FX_EM,00:00,20:00,1.0
ZA,Palladium,PA1 Comdty,COMM_PREC_METALS,12:00,18:00,6.0
CC,Cocoa,CC1 Comdty,COMM_AGRI_SOFTS,09:00,16:00,6.0
JO,Orange Juice,JO1 Comdty,COMM_AGRI_SOFTS,12:00,18:00,15.0
